並,1,1,6,ヘイ,なみ なら-べる なら-ぶ なら-びに,8,一部,一 (いち),並びに 並び 並べ 並ぶ 並み 並べて 並木 町並み 街並み 並行 並べる 並列 歯並び 人並み 山並み 毛並み 街並 横並び 足並み 月並み 家並み 町並 並走 手並み 並立 人並 山並 並存 家並 年並 月並 並進 並盛り まち並み 並びない 並び無い 並無い 川並 並べかえ 毛並 日並 並置 並品 並足 並製 縦並び 七並べ 手並 歯並 並太 足並 年並み 店並み 並びかえ 日並み 屋並 店並 並び変え 屋並み,並木 並行 並列 街並 並木道 町並 並走 並立 人並 山並 並列化 並存 家並 年並 月並 並進 川並 毛並 日並 並置 並品 並足 並製 手並 並列型 歯並 並太 足並 屋並 店並 並行性,並びに 並び 並べ 並ぶ 並み 並べて 並木 町並み 街並み 並行 並べる 並列 歯並び 人並み 山並み 毛並み 街並 横並び 足並み 月並み 家並み 町並 並走 手並み 並立 人並 山並 家並 年並 月並 並進 まち並み 並びない 並び無い 並無い 川並 並べかえ 毛並 日並 並置 並品 並足 並製 七並べ 手並 歯並 並太 足並 年並み 店並み 並びかえ 日並み 屋並 店並 並び変え 屋並み 並木道 並列化 並列型 並行性
丧,1,0,0,,,0,一部,一 (いち),,,
丨,1,3,0,コン シ ジョ ニョ,,0,丨部,丨 (ぼう たてぼう),,,
丩,1,4,0,キュウ ク キョウ ギョウ,,0,丨部,丨 (ぼう たてぼう),,,
个,1,2,12,カ コ カン,,3,丨部,丨 (ぼう たてぼう),,,
丫,1,4,0,ア,,0,丨部,丨 (ぼう たてぼう),,,
丬,1,4,0,ショウ ゾウ,しょうへん,0,丨部,丨 (ぼう たてぼう),,,
中,1,1,1,チュウ ジュウ,なか,4,丨部,丨 (ぼう たてぼう),中から 中学 中小 日中 中山 年中 中日 水中 空中 中田 山中 中年 人中 中立 文中 月中 車中 と中 町中 中空 女中 中二 中火 中一 アル中 中ほど 手中 土中 川中 口中 上中 ただ中 中ごろ まん中 中休み 中三 一中 中トロ 正中 中文 中生 雨中 中足 大中小 中だるみ 中子 中中 中耳 中正 中天 天中 火中 中手 子中 中ソ 中音 中入り シャブ中 ヤク中 中ロ せ中 中気 小中学 さ中 中右 中水 中力 左中 中口 中とろ 中入 中わた 右中 中ぐり 中金 中人 林中 字中 中る 中り 小中生 中字 中左 中男 中み 石中 木中 中ぶた まち中 しょっ中 中ぶらりん 中休 中の口 中ブタ 中だか,中学校 中学 中小 日中 中学生 中山 年中 中日 水中 空中 中田 山中 中年 人中 中立 文中 月中 車中 小中学生 町中 空気中 中空 女中 中二 中火 中一 手中 土中 川中 口中 上中 中三 一中 中学年 正中 中文 中生 雨中 中足 大中小 中子 中中 中耳 中正 中天 天中 火中 中手 子中 中音 中気 小中学 中右 中水 中力 左中 中口 中入 右中 中金 中人 本年中 林中 字中 小中生 中字 中左 中男 石中 木中 中休,中から と中 アル中 中ほど ただ中 中ごろ まん中 中トロ 中だるみ 中ソ シャブ中 ヤク中 中ロ せ中 さ中 中とろ 中わた 中ぐり 中る 中り 中み 中ぶた まち中 しょっ中 中ぶらりん 中ブタ 中だか
丮,1,4,0,ケキ キャク,,0,丨部,丨 (ぼう たてぼう),,,
丯,1,3,0,カイ,,0,丨部,丨 (ぼう たてぼう),,,
丰,1,3,0,フウ ホウ ボウ フ ブ,みめよい,0,丨部,丨 (ぼう たてぼう),,,
丱,1,2,12,カン コウ ギョウ,あげまき,5,丨部,丨 (ぼう たてぼう),,,
串,1,1,10,,くし,7,丨部,丨 (ぼう たてぼう),串焼き 串揚げ 串かつ 串刺し 串カツ 串焼 玉串 竹串 金串 串刺 串柿 横串 串物 鉄串 焼き串 焼串,串焼 玉串 竹串 玉串料 金串 串刺 串柿 横串 串物 鉄串 焼串,串焼き 串揚げ 串かつ 串刺し 串カツ 串焼 玉串 竹串 金串 串刺 横串 串物 鉄串 焼き串 焼串 玉串料
丳,1,0,0,サン セン,,0,丨部,丨 (ぼう たてぼう),,,
临,1,0,0,,,0,丨部,丨 (ぼう たてぼう),,,
丵,1,0,0,サク ザク,,0,丨部,丨 (ぼう たてぼう),,,
丶,1,2,12,チュ,てん,1,丶部,丶 (てん ちょぼ),,,
丷,1,0,0,,,0,丶部,丶 (てん ちょぼ),,,
丸,1,1,2,ガン,まる まる-い まる-める,3,丶部,丶 (てん ちょぼ),丸い 丸ごと 日の丸 丸出し 丸太 本丸 一丸 大丸 丸見え 二の丸 三の丸 丸で 黒丸 まん丸 赤丸 丸木 丸める 丸顔 丸っこい 丸かじり 丸わかり 花丸 丸石 白丸 丸分かり 丸形 小丸 丸目 丸八 出丸 丸だし 丸本 丸つぶれ 丸まる 丸かぶり 北の丸 丸のこ 丸っきり 丸首 日ノ丸 二ノ丸 丸聞こえ 丸のみ 丸竹 丸ノコ 青丸 丸小 丸麦 南丸 お丸 丸丸 半丸 丸もち 丸ナス 丸ぐけ まん丸い 黄丸 丸もうけ 丸刀 丸アジ 丸ひも 丸ぽちゃ 丸あき,丸太 本丸 一丸 大丸 丸一日 黒丸 赤丸 丸木 丸顔 花丸 丸石 白丸 丸形 小丸 丸目 丸八 出丸 丸本 丸首 丸竹 青丸 丸小 丸数字 丸麦 南丸 丸丸 半丸 黄丸 丸刀,丸い 丸ごと 日の丸 丸出し 本丸 一丸 大丸 丸見え 二の丸 三の丸 丸で まん丸 赤丸 丸木 丸める 丸っこい 丸かじり 丸わかり 花丸 丸石 白丸 小丸 丸目 丸八 出丸 丸だし 丸本 丸つぶれ 丸まる 丸かぶり 丸のこ 丸っきり 日ノ丸 二ノ丸 丸のみ 丸竹 丸ノコ 青丸 丸小 お丸 丸もち 丸ナス 丸ぐけ まん丸い 丸もうけ 丸アジ 丸ひも 丸ぽちゃ 丸あき 丸一日
丹,1,1,7,タン,,4,丶部,丶 (てん ちょぼ),丹念 丹精 丹田 雲丹 切支丹 丹頂 丹誠 丹前 丹青 青丹 丹毒 丹心 金丹 生雲丹 内丹 丹花 鉛丹 朱丹 黄丹 丹砂,丹念 丹精 丹田 雲丹 切支丹 丹頂 丹誠 丹前 丹青 青丹 丹毒 丹心 金丹 生雲丹 丹色 内丹 丹花 鉛丹 朱丹 黄丹 丹砂,丹念 丹精 丹田 雲丹 切支丹 丹頂 丹誠 丹前 丹青 青丹 丹毒 丹心 金丹 生雲丹 内丹 丹花 黄丹 丹砂 丹色
为,1,0,0,イ,なす,0,丶部,丶 (てん ちょぼ),,,
