U+2F89A	彫	3	0	0			11	58			彫							彫														
U+2F89B	㣣	3	0	0			10	59										㣣														
U+2F89C	徚	3	0	0			11	59										徚														
U+2F89D	忍	3	0	0			7	60			忍							忍														
U+2F89E	志	3	0	0			7	60										志														
U+2F89F	忹	3	0	0			7	60			狂							忹														
U+2F8A0	悁	3	0	0			9	60			悁							悁														
U+2F8A1	㤺	3	0	0			9	60										㤺														
U+2F8A2	㤜	3	0	0			9	60										㤜														
U+2F8A3	悔	3	0	0			9	60			悔							悔														
U+2F8A4	𢛔	3	0	0			12	60			𢛔懶嬾							𢛔														
U+2F8A5	惇	3	0	0			12	60			惇							惇														
U+2F8A6	慈	3	0	0			13	60			慈							慈						ci4								
U+2F8A7	慌	3	0	0			12	60			慌							慌														
U+2F8A8	慎	3	0	0			13	60			慎							慎														
U+2F8A9	慌	3	0	0			12	60			慌							慌														
U+2F8AA	慺	3	0	0			14	60										慺														
U+2F8AB	憎	3	0	0			14	60			憎							憎														
U+2F8AC	憲	3	0	0			16	60			憲							憲														
U+2F8AD	憤	3	0	0			16	60			憤							憤														
U+2F8AE	憯	3	0	0			15	60			憯							憯														
U+2F8AF	懞	3	0	0			17	60			懞							懞														
U+2F8B0	懲	3	0	0			18	60			懲							懲														
U+2F8B1	懶	3	0	0			19	60			懶嬾							懶														
U+2F8B2	成	3	0	0			7	61			成							成														
U+2F8B3	戛	3	0	0			11	61			戛							戛														
U+2F8B4	扝	3	0	0			6	63			扝扜							扝														
U+2F8B5	抱	3	0	0			8	63			抱							抱														
U+2F8B6	拔	3	0	0			8	63			拔							拔														
U+2F8B7	捐	3	0	0			9	63			捐							捐														
U+2F8B8	𢬌	3	0	0			9	63										𢬌														
U+2F8B9	挽	3	0	0			10	63			挽							挽														
U+2F8BA	拼	3	0	0			11	63			拼							拼														
U+2F8BB	捨	3	0	0			11	63			捨							捨														
U+2F8BC	掃	3	0	0			11	63			掃							掃														
U+2F8BD	揤	3	0	0			12	63			揤							揤														
U+2F8BE	𢯱	3	0	0			12	63			搜							𢯱														
U+2F8BF	搢	3	0	0			13	63										搢	to stick into; to shake					zeon3								
U+2F8C0	揅	3	0	0			15	63			揅							揅														
U+2F8C1	掩	3	0	0			13	63			掩							掩														
U+2F8C2	㨮	3	0	0			14	63										㨮														
U+2F8C3	摩	3	0	0			15	63			摩							摩														
U+2F8C4	摾	3	0	0			15	63										摾														
U+2F8C5	撝	3	0	0			15	63			撝							撝														
U+2F8C6	摷	3	0	0			16	63			摷							摷														
U+2F8C7	㩬	3	0	0			18	63										㩬														
U+2F8C8	敏	3	0	0			10	65			敏							敏														
U+2F8C9	敬	3	0	0			12	65			敬							敬														
U+2F8CA	𣀊	3	0	0			17	65										𣀊														
U+2F8CB	旣	3	0	0			11	70			既							旣														
U+2F8CC	書	3	0	0			10	72			書晝							書														
U+2F8CD	晉	3	0	0			11	71										晉						zeon3								
U+2F8CE	㬙	3	0	0			13	71										㬙														
U+2F8CF	暑	3	0	0			13	71			暑							暑														
U+2F8D0	㬈	3	0	0			14	71			㬈							㬈														
U+2F8D1	㫤	3	0	0			9	71										㫤														
U+2F8D2	冒	3	0	0			9	12			冒	冒						冒	risk, brave, dare					mou6								
U+2F8D3	冕	3	0	0			11	12			冕							冕														
U+2F8D4	最	3	0	0			12	72			最							最														
U+2F8D5	暜	3	0	0			14	71			暜替							暜														
U+2F8D6	肭	3	0	0			8	129			朒							肭														
U+2F8D7	䏙	3	0	0			8	129			䏙							䏙														
U+2F8D8	朗	3	0	0			11	73			朗							朗														
U+2F8D9	望	3	0	0			11	73			望							望														
U+2F8DA	朡	3	0	0			13	73			艐𣍶							朡														
U+2F8DB	杞	3	0	0			7	74			㭒							杞														
U+2F8DC	杓	3	0	0			7	74			杓							杓														
U+2F8DD	𣏃	3	0	0			7	74										𣏃														
U+2F8DE	㭉	3	0	0			8	74			鏵							㭉														
U+2F8DF	柺	3	0	0			9	74			枴							柺														
U+2F8E0	枅	3	0	0			10	74			枅							枅	tie beam; davit					gai1								
U+2F8E1	桒	3	0	0			10	74			未桑							桒														
U+2F8E2	梅	3	0	0			10	74			梅							梅														
U+2F8E3	𣑭	3	0	0			10	74			柵							𣑭														
U+2F8E4	梎	3	0	0			11	74										梎														
U+2F8E5	栟	3	0	0			12	74			栟							栟														
U+2F8E6	椔	3	0	0			13	74			椔							椔														
U+2F8E7	㮝	3	0	0			13	74			㮝							㮝														
U+2F8E8	楂	3	0	0			13	74			楂							楂														
U+2F8E9	榣	3	0	0			14	74			榣							榣														
U+2F8EA	槪	3	0	0			15	74			概							槪														
U+2F8EB	檨	3	0	0			16	74										檨														
U+2F8EC	𣚣	3	0	0			15	74										𣚣														
U+2F8ED	櫛	3	0	0			19	74			櫛							櫛														
U+2F8EE	㰘	3	0	0			22	74			㰘							㰘														
U+2F8EF	次	3	0	0			6	75			次							次														
U+2F8F0	𣢧	3	0	0			12	75			𣢒							𣢧														
U+2F8F1	歔	3	0	0			15	75			歔							歔														
U+2F8F2	㱎	3	0	0			24	75			㱎							㱎														
U+2F8F3	歲	3	0	0			14	76										歲														
U+2F8F4	殟	3	0	0			13	77			殟							殟														
U+2F8F5	殺	3	0	0			10	78			殺							殺														
U+2F8F6	殻	3	0	0			11	78										殻														
U+2F8F7	𣪍	3	0	0			12	78			殿							𣪍														
U+2F8F8	𡴋	3	0	0			8	44			每							𡴋														
U+2F8F9	𣫺	3	0	0			14	79										𣫺														
U+2F8FA	汎	3	0	0			6	84			汎汍							汎														
U+2F8FB	𣲼	3	0	0			7	84										𣲼														
U+2F8FC	沿	3	0	0			8	84			沿							沿														
U+2F8FD	泍	3	0	0			8	84			泲							泍														
U+2F8FE	汧	3	0	0			9	84			汧							汧														
U+2F8FF	洖	3	0	0			10	84			洖							洖														
U+2F900	派	3	0	0			9	84			派							派														
U+2F901	海	3	0	0			9	84			海							海														
U+2F902	流	3	0	0			10	84			流							流														
U+2F903	浩	3	0	0			10	84			浩							浩														
U+2F904	浸	3	0	0			10	84			浸							浸														
U+2F905	涅	3	0	0			10	84			涅							涅														
U+2F906	𣴞	3	0	0			10	84										𣴞														
U+2F907	洴	3	0	0			11	84			洴							洴	(Cant.) mud, mire					baan6								
U+2F908	港	3	0	0			12	84			港							港														
U+2F909	湮	3	0	0			12	84			湮							湮														
U+2F90A	㴳	3	0	0			13	84			㴳							㴳														
