U+7832,砲,1,1,7,ホウ,,10,111,石 (いしへん),石包,鉄砲 発砲 大砲 砲撃 砲弾 砲台 主砲 砲塔 砲火 砲兵 砲身 砲術 無鉄砲 空砲 巨砲 号砲 火砲 砲丸 野砲 砲戦 祝砲 重砲 砲手 副砲 砲門 砲声 砲口 砲座 山砲 砲金 礼砲 鉄砲百合 砲車 砲列 砲煙 午砲 備砲 砲雷 鉄砲虫,鉄砲 発砲 大砲 砲撃 砲弾 砲台 主砲 砲塔 砲火 砲兵 砲身 水鉄砲 機関砲 砲術 無鉄砲 迫撃砲 高射砲 鉄砲玉 空砲 巨砲 戦車砲 号砲 火砲 鉄砲水 砲丸 自走砲 野砲 豆鉄砲 砲戦 祝砲 重砲 速射砲 砲手 副砲 砲門 砲声 砲口 砲座 突撃砲 空気砲 列車砲 山砲 砲金 礼砲 鉄砲百合 砲車 砲列 砲煙 紙鉄砲 午砲 野戦砲 発砲酒 備砲 砲雷 鉄砲虫 砲戦車 加農砲 曲射砲 放水砲,鉄砲 発砲 大砲 砲台 主砲 砲火 砲兵 砲身 砲術 無鉄砲 空砲 号砲 火砲 砲丸 野砲 砲戦 祝砲 重砲 砲手 副砲 砲門 砲声 砲口 砲座 山砲 砲金 礼砲 鉄砲百合 砲車 砲列 午砲 備砲 鉄砲虫 水鉄砲 機関砲 高射砲 鉄砲玉 戦車砲 鉄砲水 自走砲 豆鉄砲 速射砲 空気砲 列車砲 紙鉄砲 野戦砲 発砲酒 砲戦車 加農砲 曲射砲 放水砲
U+7833,砳,1,0,0,ラク リャク,,10,111,石 (いしへん),石石,,,
U+7834,破,1,1,5,ハ,やぶ-る やぶ-れる,10,111,石 (いしへん),石皮,破損 破産 破れ 破り 破る 打破 破局 破格 読破 破たん 大破 走破 破門 破断 破れる 破風 発破 型破り 破水 破線 破談 破竹 破折 破防法 破目 破面 破顔 破ける 破れかぶれ 破軍 破く 連破 序破急 小破 スト破り 破れ目 破調 破口 素破 破船 破約 破落戸 破鏡 破する 破屋 オキテ破り 説破 破算 道破,破損 破産 打破 破局 破格 読破 大破 走破 破門 破断 破産法 破風 発破 破産者 破水 破線 破談 破竹 破折 破防法 破目 破面 破顔 破軍 連破 序破急 小破 破調 破口 素破 破船 破約 破落戸 破鏡 破屋 説破 破算 道破,破産 破れ 破り 破る 打破 破局 読破 破たん 大破 走破 破門 破れる 破風 発破 破水 破線 破談 破竹 破折 破目 破面 破顔 破ける 破れかぶれ 破軍 破く 連破 小破 スト破り 破れ目 破調 破口 破船 破約 破落戸 破鏡 破する 破屋 オキテ破り 説破 破算 道破 破産法 破産者
U+7835,砵,1,0,0,オウ,,10,111,石 (いしへん),石本,,,
U+7836,砶,1,0,0,ハク,,10,111,石 (いしへん),石白,,,
U+7837,砷,1,0,0,シン,,10,111,石 (いしへん),石申,,,
U+7838,砸,1,0,0,ソウ,,10,111,石 (いしへん),石匝,,,
U+7839,砹,1,0,0,,,10,111,石 (いしへん),石艾,,,
U+783A,砺,1,1,11,レイ,と あらと みがく といし,10,111,石 (いしへん),𬑹万 石厉,,,
U+783B,砻,1,0,0,,,10,111,石 (いし),龙石,,,
