U+F927	蠟	2	0	0			21	141										蠟	wax; candle; waxy, glazed								납:0	NAP				
U+F928	廊	2	3	0			13	52			廊							廊	corridor, porch, veranda					long4			낭:0	NANG				
U+F929	朗	2	3	0			11	73			朗朖𣍷朤𥇑							朗	clear, bright; distinct								낭:0	NANG				
U+F92A	浪	2	0	0			10	84										浪	wave; wasteful, reckless								낭:0	NANG				
U+F92B	狼	2	0	0			10	93										狼	wolf								낭:0	NANG				
U+F92C	郎	2	0	0			9	162										郎	gentleman, young man; husband								낭:X	NANG				
U+F92D	來	2	0	0			8	8										來	come, coming; return, returning								내:0	NAY				
U+F92E	冷	2	0	0			7	14										冷	cold, cool; lonely								냉:0	NAYNG				
U+F92F	勞	2	0	0			12	18										勞	labor, toil, do manual work								노:0	NO				
U+F930	擄	2	0	0			16	63										擄	capture, seize								노:0	NO				
U+F931	櫓	2	0	0			19	74										櫓	oar, scull; row								노:0	NO				
U+F932	爐	2	0	0			20	85										爐	fireplace, stove, oven, furnace								노:0	NO				
U+F933	盧	2	0	0			16	107										盧	cottage, hut; surname; black								노:0	NO				
U+F934	老	2	0	0			6	124										老	old, aged; experienced								노:0	NO				
U+F935	蘆	2	0	0			19	139										蘆	rushes, reeds								노:0	NO				
U+F936	虜	2	3	0			12	140			虏虜							虜	capture, imprison, seize; prison					lou5			노:0	NO				
U+F937	路	2	0	0			13	156										路	road, path, street; journey								노:0	NO				
U+F938	露	2	0	0			21	172										露	dew; bare, open, exposed								노:0	NO				
U+F939	魯	2	0	0			15	194										魯	foolish, stupid, rash; vulgar								노:0	NO				
U+F93A	鷺	2	0	0			24	195										鷺	heron, egret								노:0	NO				
U+F93B	碌	2	0	0			13	111										碌	rough, uneven, rocky; mediocre								녹:0	NOK				
U+F93C	祿	2	0	0			13	112										祿	blessing, happiness, prosperity								녹:0	NOK				
U+F93D	綠	2	0	0			14	119										綠	green; chlorine								녹:0	NOK				
U+F93E	菉	2	0	0			11	139										菉	the green bamboo; greenish bamboo								녹:0	NOK				
U+F93F	錄	2	0	0			16	166										錄	copy, write down, record								녹:0	NOK				
U+F940	鹿	2	0	0			11	197										鹿	deer; surname; Kangxi radical 198								녹:0	NOK				
U+F941	論	2	0	0			15	148										論	debate; discuss; discourse								논:0	NON				
U+F942	壟	2	0	0			19	31										壟	grave, mound; ridge in field								농:0	NONG				
U+F943	弄	2	0	0			7	54										弄	do, play or fiddle with; alley								농:0	NONG				
U+F944	籠	2	0	0			22	117										籠	cage; cage-like basket								농:0	NONG				
U+F945	聾	2	0	0			22	127										聾	deaf					lung4			농:0	NONG				
U+F946	牢	2	0	0			7	92										牢	prison; stable, pen; secure								뇌:0	NOY				
U+F947	磊	2	0	0			15	111										磊	pile of rocks or stones; great								뇌:0	NOY				
U+F948	賂	2	0	0			13	153										賂	bribe; give present								뇌:0	NOY				
U+F949	雷	2	0	0			13	172										雷	thunder								뇌:0	NOY				
U+F94A	壘	2	0	0			18	31										壘	rampart, military wall								누:0	NWU				
U+F94B	屢	2	0	0			14	43										屢	frequently, often, again and again								누:0	NWU				
U+F94C	樓	2	0	0			15	74										樓	building of two or more stories								누:0	NWU				
U+F94D	淚	2	0	0			11	84										淚	tears; weep, cry								누:0	NWU				
U+F94E	漏	2	0	0			14	84										漏	leak, drip; funnel; hour glass								누:0	NWU				
U+F94F	累	2	0	0			11	119										累	tired; implicate, involve; bother								누:0	NWU				
U+F950	縷	2	0	0			17	119										縷	thread; detailed, precise								누:0	NWU				
U+F951	陋	2	0	0			9	169										陋	narrow; crude, coarse; ugly								누:0	NWU				
U+F952	勒	2	0	0			11	18										勒	strangle, tighten								늑:0	NUK				
U+F953	肋	2	0	0			6	129										肋	ribs; chest								늑:0	NUK				
U+F954	凜	2	0	0			15	14										凜	shiver with cold or fear, fearful								늠:0	NUM				
U+F955	凌	2	0	0			10	14										凌	pure; virtuous; insult; maltreat								능:0	NUNG				
U+F956	稜	2	0	0			13	114										稜	corner, edge, angle; square block								능:0	NUNG				
