僶,亻黽
僷,亻葉
僸,亻禁
價,亻賈
僺,亻喿
僻,亻辟
僼,亻豊
僽,亻愁
僾,亻愛
僿,亻塞
儀,亻義
儁,亻雋
儂,亻農
儃,亻亶
億,亻意
儅,亻當
儆,亻敬
儇,亻睘
儈,亻會
儉,亻僉
儊,亻楚
儋,亻詹
儌,亻敫
儍,亻𡕰 亻𠚍儿夂
儎,亻載
儏,亻粲
儐,亻賓
儑,亻㬎
儒,亻需
儓,亻臺
儔,亻壽
儕,亻齊
儖,亻監
儗,亻疑
儘,亻盡
儙,亻遣
儚,亻夢
儛,亻舞
儜,亻寧
儝,亻榮
儞,亻爾
償,亻賞
儠,亻巤 亻巛囚𠄌二𠄌二㇂
儡,亻畾
儢,亻慮
儣,亻廣 𠆲黄 𠆲黃
儤,亻暴
儥,亻賣 亻𧶠
儦,亻麃 𬿚灬
儧,亻賛
儨,亻質
儩,亻賜 𰂇易
優,亻憂
儫,亻豪
儬,亻靚 倩見
儭,亻親 𠋆見
儮,亻歷
儯,亻駦
儰,亻蔿 亻蒍
儱,亻龍
儲,亻諸 信者
儳,亻毚
儴,亻襄
儵,攸黑
儶,亻巂 亻雟 亻崔冏
儷,亻麗
儸,亻羅
儹,亻贊
儺,亻難 傼隹
儻,亻黨
儼,亻嚴 𠉬敢
儽,亻纍
儾,亻囊
儿,丿乚
兀,一儿
允,厶儿
兂,尢𠃊 丿乚厂一
元,二儿 一兀
兄,口儿
充,𠫓儿 亠允
兆,冫儿丿丶
兇,凶儿
先,𠂒儿
光,⺌兀
兊,公儿 八允
克,古儿 十兄
兌,㕣儿 八兄
免,⺈丿乚口 ⺈𫩏儿
兎,丿丿乚口丶 亻口儿丶
兏,𠂆𠑷
児,旧儿
兑,丷兄 𠮦儿
兒,臼儿
兓,旡旡 兂兂
兔,免丶 刀丿乚口丶 ⺈𫩏儿丶 勹丿乚口丶 刀𫩏儿丶
兕,凹儿
兖,亠兊 六允
兗,亠兌 六兄
兘,元台
兙,克十
党,龸兄 𫩠儿
兛,克千
兜,丿𠄌白コ儿 丿𠃊白コ儿
兝,克分
兞,克毛
兟,先先
兠,北白儿
兡,克百
兢,克克
兣,克厘
兤,光廣
入,乀丿 丶丿
兦,𠃊入
內,入冂 ス冂
全,𫢉一 入王 仝一 人王 亼土 𠓛土 㒰一
兩,丅冂𠓜 丅冂从
兪,𠓛⺝巜 亼⺝巜 𠓛冂⺀巜 亼月巜
八,丿乀 丿丶
公,八厶
六,亠八
兮,八丂
兯,丷𰆊
兰,丷三 䒑二
共,龷八
兲,王八
关,丷天 八天 䒑大
兴,𭕄一八
兵,丘八
其,龷二八 甘廾
具,𠀃三八 目一八
典,〢冂一一八
兹,丷𫠩 䒑𢆶
兺,分𫜸 八𭇌 分𠮟
养,䒑夫丿丨 丷兲丿丨 𦍌介
兼,䒑〢⺕八 八一〢⺕八 丿丿艹⺕八 丿丿一〢⺕八
兽,𬎿𠮛
兾,丷異 八異 𬎿共
兿,䒑𮲐
冀,北異
冁,单展
冂,丨𠃌 丨𠃍
冃,冃𠔼一 冃冂二
冄,冂二 ⺆二
内,人冂
円,冂丄
冇,𠂇冂 𠂇⺆
冈,冂乂
冉,丨冂一一 丨冄 丨⺆一一
冊,𦉫一 ⺆〢一
冋,冂口
册,⺆⺆一 ⺆冂一 冂冂一
再,一冉
冎,冂𠃍冂 𭁟冂 冂𠃍冖 𭁟冖
冏,冂㕣 𦉪口
冐,冃⺝ 冃冃 日月 冃月 日⺝ 日⺼
冑,由冃
冒,冃目 日目
冓,𠀎冉 丨𠀎冄 玨冉
冔,冃吁
冕,冃免 日免
冖,乛丶
冗,冖几 冖儿
冘,丿乚冖
写,冖与
冚,冖山
军,冖车
农,丿冖𰀠
冝,冖且
冞,冖米
冟,冖皀
冠,冖㝴
冡,冖二𧰨 冖一豕
冢,冖豖
冣,冖取
冤,冖兔
冥,冖昗 𠕾六
冦,冖元攴
冧,冖林
冨,冖畐
冩,冖舄
冪,冖幕
冫,丶㇀
冬,夂⺀ 夂冫
冭,大⺀ 大冫 太丶 太㇀
冮,冫工
冯,冫马
冰,冫水
冱,冫互
冲,冫中
决,冫夬
冴,冫牙
况,冫兄
冶,冫台
冷,冫令
冸,冫半
冹,冫犮
冺,冫民
冻,冫东
冼,冫先
冽,冫列
冾,冫合
冿,冫聿
净,冫争
凁,冫束
凂,冫免
凃,冫余
凄,冫妻
凅,冫固
准,冫隹
凇,冫松
凈,冫爭
凉,冫京
凊,冫青 冫靑
凋,冫周
凌,冫夌
凍,冫東
凎,冫金
减,冫咸
凐,冫垔
凑,冫奏 冫𡗗夭
凒,冫豈
凓,冫栗
凔,冫倉
凕,冫冥
凖,准十
凗,冫崔
凘,冫斯
凙,冫睪
凚,冫禁
凛,冫禀
凜,冫稟
凝,冫疑
凞,冫熈 冫𱼧巳灬 冫臣㔾灬 冫臣巳灬 冫𭘍灬 丬𭘍灬
凟,冫賣 冫𧶠
几,丿㇈ 丿乁 丿㇊ 丿㇍ 丿⺄
凡,几丶 几一 _几丶 _几一
凢,丿几
凣,丨几
凤,几又
凥,尸几
処,夂几
凧,几巾
凨,几云
凩,几木
凪,几止
凫,丿𠃌㇉丶几
凬,几𣄼
凭,任几
凮,几百
凯,山己几
凰,几皇
凱,豈几
凲,几兼
凳,登几
凴,馮几
凵,丨𠃊 丨一丨
凶,凵乂
凷,凵土
凸,丨一丨㇎一 𠃊一丨㇎
凹,丨㇅丨𠃍一 𠃊㇅丨𠃍 一𠃍丨一𠃍丨一
出,屮凵
击,𰀁凵
凼,凵水
函,了凵冫丿丶 丂凵冫丿丶 了凵⺀⺀ 了凵从
凾,了凵叹 丂凵叹
凿,业凵𢆉
刀,𠃌丿
刁,𠃌㇀
刂,丨亅
刃,𠃌𬼀 𠃌乂
刄,刀乀 刀丶
刅,刃丶
分,八刀
切,七刀 土刀
刈,乂刂
刉,乞刂
刊,干刂
刋,千刂
刌,寸刂
刍,⺈𫜹 ⺈⺕
刎,勿刂
刏,气刂
刐,丹刂
刑,开刂
划,戈刂
刓,元刂
刔,夬刂
刕,刀𠚪
刖,月刂 ⺝刂
列,歹刂
刘,文刂
则,贝刂 丨𮷌
刚,冈刂
创,仓刂
刜,弗刂
初,衤刀
刞,且刂
刟,召刂
删,册刂
刡,民刂
刢,令刂
刣,台刂
判,半刂 丿八二刂
別,𠮠刂
刦,去刂
刧,去刀
刨,包刂
利,禾刂
刪,冊刂
别,另刂
刬,戋刂
刭,𢀖刂 又土刂
刮,舌刂
刯,亘刂
到,至刂
刱,井刅 𠛝丶
刲,圭刂
刳,夸刂
刴,朶刂
刵,耳刂
制,牛冂刂
刷,𡰯刂
券,龹刀 𠔉刀
刹,杀刂
刺,朿刂
刻,亥刂
刼,去刃 去刄
刽,会刂
刾,夹刂
刿,岁刂
剀,山己刂
剁,朵刂
剂,文丿丨刂
剃,弟刂
剄,巠刂
剅,豆刂
剆,丶巳一丶刂 良刂
則,貝刂
剈,肙刂
剉,坐刂
削,肖刂
剋,克刂
剌,束刂
前,䒑刖 䒑冂⺀刂
剎,𣏂刂
剏,并刃 并刄
剐,呙刂
剑,佥刂
剒,昔刂
剓,𥝢刀
剔,易刂
剕,非刂
剖,咅刂
剗,戔刂
剘,其刂
剙,并刅 剏丶
剚,事刂
剛,岡刂
剜,宛刂
剝,彔刂
剞,奇刂 竒刂
剟,叕刂 㕛𠚿
剠,京刂
剡,炎刂
剢,豖刂
剣,㑒刂
剤,文丿二丨刂 斉刂
剥,录刂
剦,大电刂 奄刂
剧,居刂
剨,砉刂
剩,乖人刂 乘刂
剪,前刀
剫,度刂 广廿又刂
剬,耑刂
剭,屋刂
剮,咼刂
副,畐刂
剰,乗刂 丿𠦃𠆣刂
剱,㑒刃 㑒刄
割,害刂
剳,艹合刂
剴,豈刂
創,倉刂
剶,彖刂 𠁡丶豕刂
剷,产生刂 產刂 産刂
剸,專刂
剹,翏刂
剺,𠩺刀
剻,崩刂 山朋刂
剼,參刂
剽,票刂
剾,區刂
剿,巢刂
劀,矞刂
劁,焦刂
劂,厥刂 厂八一屮欠刂
劃,畫刂
劄,𥫗合刂 答刂
劅,蜀刂
劆,广兼刂 廉刂
劇,豦刂
劈,辟刀
劉,𱍸刀金刂 𨥫刂
劊,會刂
劋,喿刂
劌,歲刂
劍,僉刂
劎,僉刀
劏,當刂
劐,萑又刂 雈又刂
劑,齊刂 亠刀丫𱍸丿二丨刂
劒,僉刃
劓,鼻刂
劔,僉刄
劕,質刂
劖,毚刂
劗,贊刂
劘,靡刂
劙,蠡刂
劚,屬刂
力,丿𠃌
劜,力乚
劝,又力
办,力丶丶
功,工力
加,力口
务,夂力 攵力
劢,万力
劣,少力
劤,斤力
劥,亢力
劦,力𠠴
劧,手力
动,云力
助,且力
努,奴力
劫,去力
劬,句力
劭,召力
劮,失力
劯,石力
劰,白力
励,厉力
劲,𢀖力
劳,𫇦力
労,𰃮力
劵,龹力 𠔉力
劶,后力
劷,羊力
劸,圭力
効,交力
劺,牟力
劻,匡力
劼,吉力
劽,列力
劾,亥力
势,执力
勀,克力
勁,巠力
勂,告力 吿力
勃,孛力
勄,每力
勅,束力
勆,丶巳一丶力 良力
勇,甬力 龴男 ⺈男
勈,甬力
勉,免力
勊,克力
勋,员力
勌,龹㔾力 卷力
勍,京力
勎,坴力 圥土力
勏,咅力
勐,子皿力
勑,來力
勒,革力
勓,皆力
勔,面力
動,重力
勖,冒力
勗,日助 冃助
勘,甚力
務,矛务
勚,贳力
勛,員力
勜,翁力
勝,𰮤力 月龹力 月劵 ⺼券
勞,𤇾力
募,莫力 䒤夯
勠,翏力
勡,票力
勢,埶力 坴丸力
勣,責力
勤,堇力 艹丄𠮡力
勥,强力 強力
勦,巢力
勧,𮥶力
勨,象力
勩,貰力
勪,喬力
勫,番力
勬,絭力
勭,童力 立里力
勮,豦力
勯,亶力
勰,劦思
勱,萬力
勲,動灬
勳,熏力
勴,慮力
勵,厲力
勶,徹力
勷,襄力
勸,雚力
勹,丿𠃌
勺,勹丶 勹一
勻,勹二
勼,勹九
勽,勹人
勾,勹厶
勿,勹丿丿
匀,勹冫 勹二 勺㇀
匁,勹丿乀 勹丿丶
匂,勹匕
匃,勹𠃊人
匄,勹亡 勺匚 勺匸
包,勹巳 勹己
匆,勹丿丿丶 勿乀 勿丶
匇,勹夕 勹夂
匈,勹凶 勹𠃊乂
匉,勹平
匊,勹米
匋,勹缶 勹𦈢
匌,勹合 勽𠮛
匍,勹甫
匎,勹奄 勹大电
匏,夸包
匐,勹畐
匑,勹躬
匒,勹荅 勹艹合
匓,勹巳一丶殳 勹𣪘 勹皀几又 勹皀殳
匔,勹躳
匕,乚丿 乚一 𠃊一 𠃊丿
化,亻𠤎 亻匕 乚𫢅
北,二丨匕 一丨一匕
匘,匕𡿺
匙,是匕
匚,一𠃊 一乚 一𠄌 一㇄
匛,匚久
匜,匚也
匝,匚巾 匚帀
匞,匚工
匟,匚亢
匠,匚斤
匡,匚王
匢,匚勿
匣,匚甲
匤,匚玉
匥,匚弁
匦,匚轨
匧,匚大从 匚夾 匸大从
匨,匚壯
匩,匚𡉚 匚㞷
匪,匚非
匫,匚曶
匬,匚俞 匚兪
匭,匚軌
匮,匚贵
匯,匚淮
匰,匚單
匱,匚貴
匲,匚𡙗 匸𡙗
匳,匚僉
匴,匚算
匵,匚賣 匚𧶠
匶,匚舊 匚萑臼
匷,匚瞿
匸,一𠃊
匹,匚儿 匸儿
区,匚乂 匸乂
医,匚矢 匸矢
匼,匚合 匸合
匽,匚妟 匸妟
匾,匚扁 匸扁
匿,匚若 匸若
區,匚品 匸品
十,丨一
卂,㇈十 ㇈𠂇 ㇈乂
千,丿十 丿𠂇 亻一 𰀪一
卄,卄〢一
卅,川一 〣一
卆,九十
升,𰀪丨一
午,𠂉十
卉,十廾
