公,八部,はちぶ,八,はち は
六,八部,はちぶ,八,はち は
兮,八部,はちぶ,八,はち は
共,八部,はちぶ,八,はち は
关,八部,はちぶ,丷,はちがしら
兵,八部,はちぶ,八,はち は
其,八部,はちぶ,八,はち は
具,八部,はちぶ,八,はち は
典,八部,はちぶ,八,はち は
兼,八部,はちぶ,八,はち は
冀,八部,はちぶ,八,はち は
冂,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
内,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
円,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
冉,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
冊,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
册,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
再,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
冏,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
冐,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
冑,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
冒,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
冓,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
冕,冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ
冖,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
冗,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
写,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
冠,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
冢,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
冤,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
冥,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
冦,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
冨,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
冩,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
冪,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
冫,冫部,ひょうぶ,冫,にすい
冬,冫部,ひょうぶ,冫,にすい
冰,冫部,ひょうぶ,冫,にすい
冱,冫部,ひょうぶ,冫,にすい
冲,冫部,ひょうぶ,冫,にすい
决,冫部,ひょうぶ,冫,にすい
冴,冫部,ひょうぶ,冫,にすい
况,冫部,ひょうぶ,冫,にすい
冶,冫部,ひょうぶ,冫,にすい
冷,冫部,ひょうぶ,冫,にすい
冽,冫部,ひょうぶ,冫,にすい
凄,冫部,ひょうぶ,冫,にすい
凅,冫部,ひょうぶ,冫,にすい
准,冫部,ひょうぶ,冫,にすい
凉,冫部,ひょうぶ,冫,にすい
凋,冫部,ひょうぶ,冫,にすい
凌,冫部,ひょうぶ,冫,にすい
凍,冫部,ひょうぶ,冫,にすい
凖,冫部,ひょうぶ,冫,にすい
凛,冫部,ひょうぶ,冫,にすい
凜,冫部,ひょうぶ,冫,にすい
凝,冫部,ひょうぶ,冫,にすい
几,几部,きぶ,几,つくえ かぜかんむり
凡,几部,きぶ,几,つくえ かぜかんむり
処,几部,きぶ,几,つくえ かぜかんむり
凧,几部,きぶ,几,つくえがまえ かぜがまえ
凩,几部,きぶ,几,つくえがまえ かぜがまえ
凪,几部,きぶ,几,つくえがまえ かぜがまえ
凭,几部,きぶ,几,つくえ かぜかんむり
凰,几部,きぶ,几,つくえがまえ かぜがまえ
凱,几部,きぶ,几,つくえ かぜかんむり
凵,凵部,かんぶ,凵,うけばこ したばこ
凶,凵部,かんぶ,凵,かんがまえ
凸,凵部,かんぶ,凵,うけばこ したばこ
凹,凵部,かんぶ,凵,うけばこ したばこ
出,凵部,かんぶ,凵,うけばこ したばこ
函,凵部,かんぶ,凵,うけばこ したばこ
凾,凵部,かんぶ,凵,うけばこ したばこ
刀,刀部,とうぶ,刀,かたな
刂,刀部,とうぶ,刂,りっとう
刃,刀部,とうぶ,刀,かたな
刄,刀部,とうぶ,刀,かたな
分,刀部,とうぶ,刀,かたな
切,刀部,とうぶ,刀,かたな
刈,刀部,とうぶ,刂,りっとう
刊,刀部,とうぶ,刂,りっとう
刋,刀部,とうぶ,刂,りっとう
刎,刀部,とうぶ,刂,りっとう
刑,刀部,とうぶ,刂,りっとう
刔,刀部,とうぶ,刂,りっとう
列,刀部,とうぶ,刂,りっとう
初,刀部,とうぶ,刀,かたな
判,刀部,とうぶ,刂,りっとう
別,刀部,とうぶ,刂,りっとう
刧,刀部,とうぶ,刀,かたな
利,刀部,とうぶ,刂,りっとう
刪,刀部,とうぶ,刂,りっとう
刮,刀部,とうぶ,刂,りっとう
到,刀部,とうぶ,刂,りっとう
刳,刀部,とうぶ,刂,りっとう
制,刀部,とうぶ,刂,りっとう
刷,刀部,とうぶ,刂,りっとう
券,刀部,とうぶ,刀,かたな
刹,刀部,とうぶ,刂,りっとう
刺,刀部,とうぶ,刂,りっとう
刻,刀部,とうぶ,刂,りっとう
剃,刀部,とうぶ,刂,りっとう
剄,刀部,とうぶ,刂,りっとう
則,刀部,とうぶ,刂,りっとう
削,刀部,とうぶ,刂,りっとう
剋,刀部,とうぶ,刂,りっとう
剌,刀部,とうぶ,刂,りっとう
前,刀部,とうぶ,刂,りっとう
剏,刀部,とうぶ,刀,かたな
剔,刀部,とうぶ,刂,りっとう
剖,刀部,とうぶ,刂,りっとう
剛,刀部,とうぶ,刂,りっとう
剝,刀部,とうぶ,刂,りっとう
剞,刀部,とうぶ,刂,りっとう
剣,刀部,とうぶ,刂,りっとう
剤,刀部,とうぶ,刂,りっとう
剥,刀部,とうぶ,刂,りっとう
剩,刀部,とうぶ,刂,りっとう
剪,刀部,とうぶ,刀,かたな
副,刀部,とうぶ,刂,りっとう
剰,刀部,とうぶ,刂,りっとう
剱,刀部,とうぶ,刀,かたな
割,刀部,とうぶ,刂,りっとう
剳,刀部,とうぶ,刂,りっとう
剴,刀部,とうぶ,刂,りっとう
創,刀部,とうぶ,刂,りっとう
剽,刀部,とうぶ,刂,りっとう
剿,刀部,とうぶ,刂,りっとう
劃,刀部,とうぶ,刂,りっとう
劇,刀部,とうぶ,刂,りっとう
劈,刀部,とうぶ,刀,かたな
劉,刀部,とうぶ,刂,りっとう
劍,刀部,とうぶ,刂,りっとう
劑,刀部,とうぶ,刂,りっとう
劒,刀部,とうぶ,刀,かたな
劔,刀部,とうぶ,刀,かたな
力,力部,りょくぶ,力,ちから
功,力部,りょくぶ,力,ちから
加,力部,りょくぶ,力,ちから
劣,力部,りょくぶ,力,ちから
助,力部,りょくぶ,力,ちから
努,力部,りょくぶ,力,ちから
劫,力部,りょくぶ,力,ちから
劬,力部,りょくぶ,力,ちから
劭,力部,りょくぶ,力,ちから
励,力部,りょくぶ,力,ちから
労,力部,りょくぶ,力,ちから
劵,力部,りょくぶ,力,ちから
効,力部,りょくぶ,力,ちから
劼,力部,りょくぶ,力,ちから
劾,力部,りょくぶ,力,ちから
勁,力部,りょくぶ,力,ちから
勃,力部,りょくぶ,力,ちから
勅,力部,りょくぶ,力,ちから
勇,力部,りょくぶ,力,ちから
勉,力部,りょくぶ,力,ちから
勍,力部,りょくぶ,力,ちから
勒,力部,りょくぶ,力,ちから
動,力部,りょくぶ,力,ちから
勗,力部,りょくぶ,力,ちから
勘,力部,りょくぶ,力,ちから
務,力部,りょくぶ,力,ちから
勝,力部,りょくぶ,力,ちから
勞,力部,りょくぶ,力,ちから
募,力部,りょくぶ,力,ちから
勠,力部,りょくぶ,力,ちから
勢,力部,りょくぶ,力,ちから
勣,力部,りょくぶ,力,ちから
勤,力部,りょくぶ,力,ちから
勦,力部,りょくぶ,力,ちから
勧,力部,りょくぶ,力,ちから
勲,力部,りょくぶ,力,ちから
勳,力部,りょくぶ,力,ちから
勵,力部,りょくぶ,力,ちから
勸,力部,りょくぶ,力,ちから
勹,勹部,ほうぶ,勹,つつみがまえ
勺,勹部,ほうぶ,勹,つつみがまえ
勾,勹部,ほうぶ,勹,つつみがまえ
勿,勹部,ほうぶ,勹,つつみがまえ
匀,勹部,ほうぶ,勹,つつみがまえ
匁,勹部,ほうぶ,勹,つつみがまえ
匂,勹部,ほうぶ,勹,つつみがまえ
包,勹部,ほうぶ,勹,つつみがまえ
匆,勹部,ほうぶ,勹,つつみがまえ
匈,勹部,ほうぶ,勹,つつみがまえ
匍,勹部,ほうぶ,勹,つつみがまえ
匏,勹部,ほうぶ,勹,つつみがまえ
匐,勹部,ほうぶ,勹,つつみがまえ
